User Name,EIIN,School Name,PC ID,Lab ID
"Meta DEV 02",45,ullahpara school,12,33
Start Time,End Time,Total Time
"5/20/2023, 11:07:33 AM","5/20/2023, 5:40:12 PM","6 hours 32 minutes"
"5/21/2023, 11:31:06 AM","5/21/2023, 2:44:51 PM","3 hours 13 minutes"
"5/22/2023, 10:41:48 AM","5/22/2023, 3:45:03 PM","5 hours 3 minutes"
"5/25/2023, 11:24:16 AM","5/25/2023, 6:37:49 PM","6 hours 6 minutes"
"5/27/2023, 10:06:13 AM","5/27/2023, 10:33:11 AM","24 minutes"
"5/28/2023, 1:31:05 PM","5/28/2023, 6:04:47 PM","4 hours 33 minutes"
"5/29/2023, 11:26:43 AM","5/29/2023, 4:29:47 PM","5 hours 3 minutes"
"5/30/2023, 10:56:39 AM","5/30/2023, 4:15:51 PM","5 hours 19 minutes"
"5/31/2023, 11:55:35 AM","5/31/2023, 6:48:59 PM","6 hours 25 minutes"
"6/1/2023, 10:57:07 AM","6/1/2023, 2:21:03 PM","3 hours 23 minutes"
"6/3/2023, 10:23:02 AM","6/3/2023, 6:53:32 PM","8 hours 27 minutes"
"6/4/2023, 1:04:02 PM","6/4/2023, 6:45:18 PM","48 minutes"
"6/5/2023, 10:06:58 AM","6/5/2023, 11:20:58 AM","1 hour 11 minutes"
